action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Not Determined,15767060,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c2ccccc12)c1cccc(C(F)(F)F)c1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632702,,CHEMBL3632702,,0,,2509202,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767061,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)c(OC)c3)c3ccccc23)cc1OC,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632703,,CHEMBL3632703,,0,,2509203,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767062,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632704,,CHEMBL3632704,,0,,2509204,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767063,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)c1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(N(C)C)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632705,,CHEMBL3632705,,0,,2509205,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767064,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(F)cc2)c2ccccc12)c1ccc(F)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632706,,CHEMBL3632706,,0,,2509206,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,,15767065,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)CN(c1ccc(N(CC(=O)OCC)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632707,,CHEMBL3632707,,0,http://www.openphacts.org/units/Nanomolar,2509207,>,1,1,>,,IC50,nM,,250000.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,250000.0
,Not Determined,15767066,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN(c1ccc(N(CC=C)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632708,,CHEMBL3632708,,0,,2509208,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767067,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)N(C)c2ccc(N(C)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632709,,CHEMBL3632709,,0,,2509209,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767068,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCN(c1ccc(N(CC)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632710,,CHEMBL3632710,,0,,2509210,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,,15767069,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)N(CC(N)=O)c2ccc(N(CC(N)=O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,"{'bei': '12.01', 'le': '0.24', 'lle': '5.14', 'sei': '4.10'}",CHEMBL3632711,,CHEMBL3632711,7.36,0,http://www.openphacts.org/units/Nanomolar,2509211,=,1,1,=,,IC50,nM,,44.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,44.0
,Not Determined,15767070,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,C#CCN(c1ccc(N(CC#C)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632712,,CHEMBL3632712,,0,,2509212,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767071,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632713,,CHEMBL3632713,,0,,2509213,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767072,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632714,,CHEMBL3632714,,0,,2509214,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767073,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c2ccccc12)c1ccccc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632880,,CHEMBL3632880,,0,,2509441,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,Not Determined,15767074,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(OC)c3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,,CHEMBL3632881,,CHEMBL3632881,,0,,2509442,,1,0,,,IC50,,,,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,,,,
,,15767075,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)CN(c1ccc(NS(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,"{'bei': '10.94', 'le': '0.22', 'lle': '1.98', 'sei': '4.99'}",CHEMBL3632882,,CHEMBL3632882,6.40,0,http://www.openphacts.org/units/Nanomolar,2509443,=,1,1,=,,IC50,nM,,400.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,400.0
,,15767076,[],CHEMBL3637038,Binding affinity to the Keap1 (321 to 609 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) cells by surface plasmon resonance assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(S(=O)(=O)Nc2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,,,CHEMBL3632561,Eur J Med Chem,2015,"{'bei': '12.50', 'le': '0.25', 'lle': '3.02', 'sei': '5.00'}",CHEMBL3617852,,CHEMBL3617852,6.96,0,http://www.openphacts.org/units/Nanomolar,2509444,=,1,1,=,,IC50,nM,,110.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,110.0
,,16621168,[],CHEMBL3822030,Displacement of 5'-TAMRA-NRF2 peptide from human recombinant N-terminal His6 and Avi-tagged KEAP1 (321 to 609 residues) expressed in baculovirus infected sf9 cells after 1 hr by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cc([C@H](CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(=O)(=O)c1ccccc1,,,CHEMBL3817762,J Med Chem,2016,"{'bei': '13.16', 'le': '0.26', 'lle': '2.52', 'sei': '6.23'}",CHEMBL3818085,,CHEMBL3818085,6.57,0,http://www.openphacts.org/units/Nanomolar,2782808,=,1,1,=,,IC50,nM,,270.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,0.27
,,16621169,[],CHEMBL3822030,Displacement of 5'-TAMRA-NRF2 peptide from human recombinant N-terminal His6 and Avi-tagged KEAP1 (321 to 609 residues) expressed in baculovirus infected sf9 cells after 1 hr by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(C)(=O)=O,,,CHEMBL3817762,J Med Chem,2016,"{'bei': '12.52', 'le': '0.26', 'lle': '2.85', 'sei': '5.19'}",CHEMBL3819169,,CHEMBL3819169,5.47,0,http://www.openphacts.org/units/Nanomolar,2782807,=,1,1,=,,IC50,nM,,3400.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,3.4
,,16621170,[],CHEMBL3822030,Displacement of 5'-TAMRA-NRF2 peptide from human recombinant N-terminal His6 and Avi-tagged KEAP1 (321 to 609 residues) expressed in baculovirus infected sf9 cells after 1 hr by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cn1nnc2cc(C(CC(=O)O)c3ccc(Cl)cc3)ccc21,,,CHEMBL3817762,J Med Chem,2016,"{'bei': '13.35', 'le': '0.26', 'lle': '0.98', 'sei': '6.20'}",CHEMBL3819386,,CHEMBL3819386,4.21,0,http://www.openphacts.org/units/Nanomolar,2782806,=,1,1,=,,IC50,nM,,61000.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,61.0
,,16621171,[],CHEMBL3822030,Displacement of 5'-TAMRA-NRF2 peptide from human recombinant N-terminal His6 and Avi-tagged KEAP1 (321 to 609 residues) expressed in baculovirus infected sf9 cells after 1 hr by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCc1ccc(Cl)cc1,,,CHEMBL3817762,J Med Chem,2016,,CHEMBL3819037,,CHEMBL3819037,,0,http://www.openphacts.org/units/Nanomolar,2782805,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,1000.0
,,16652571,[],CHEMBL3829092,Inhibition of human Keap1 kelch domain (Ala321 to Thr609 residues) binding to fluorescent labeled Nrf2 peptide preincubated for 15 mins followed by Nrf2 peptide addition measured after 30 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc(-c2ccccc2)sc1S(=O)(=O)Nc1ccc(N2CC[C@@H](C(=O)O)C2)c2ccccc12,,,CHEMBL3826927,ACS Med Chem Lett,2016,"{'bei': '12.96', 'le': '0.26', 'lle': '1.42', 'sei': '6.42'}",CHEMBL3827061,,CHEMBL3827061,6.40,0,http://www.openphacts.org/units/Nanomolar,2788280,=,1,1,=,,IC50,nM,,400.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,0.4
,,16652572,[],CHEMBL3829092,Inhibition of human Keap1 kelch domain (Ala321 to Thr609 residues) binding to fluorescent labeled Nrf2 peptide preincubated for 15 mins followed by Nrf2 peptide addition measured after 30 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(N3CC[C@@H](C(=O)O)C3)c3ncccc23)c1C,,,CHEMBL3826927,ACS Med Chem Lett,2016,"{'bei': '13.57', 'le': '0.26', 'lle': '1.97', 'sei': '6.18'}",CHEMBL3827496,,CHEMBL3827496,6.16,0,http://www.openphacts.org/units/Nanomolar,2788279,=,1,1,=,,IC50,nM,,700.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,0.7
,,16652573,[],CHEMBL3829092,Inhibition of human Keap1 kelch domain (Ala321 to Thr609 residues) binding to fluorescent labeled Nrf2 peptide preincubated for 15 mins followed by Nrf2 peptide addition measured after 30 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C)ccc1S(=O)(=O)Nc1ccc(N2CC[C@@H](C(=O)O)C2)c2ccccc12,,,CHEMBL3826927,ACS Med Chem Lett,2016,"{'bei': '11.96', 'le': '0.23', 'lle': '1.40', 'sei': '5.49'}",CHEMBL3826983,,CHEMBL3826983,5.27,0,http://www.openphacts.org/units/Nanomolar,2788278,=,1,1,=,,IC50,nM,,5400.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,5.4
,,16652574,[],CHEMBL3829092,Inhibition of human Keap1 kelch domain (Ala321 to Thr609 residues) binding to fluorescent labeled Nrf2 peptide preincubated for 15 mins followed by Nrf2 peptide addition measured after 30 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(S(=O)(=O)Nc2ccc(N3CC[C@@H](C(=O)O)C3)c3ccccc23)sc2ccc(Cl)cc12,,,CHEMBL3826927,ACS Med Chem Lett,2016,"{'bei': '13.37', 'le': '0.28', 'lle': '0.97', 'sei': '7.73'}",CHEMBL3827630,,CHEMBL3827630,6.70,0,http://www.openphacts.org/units/Nanomolar,2788277,=,1,1,=,,IC50,nM,,200.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,0.2
,,16652575,[],CHEMBL3829092,Inhibition of human Keap1 kelch domain (Ala321 to Thr609 residues) binding to fluorescent labeled Nrf2 peptide preincubated for 15 mins followed by Nrf2 peptide addition measured after 30 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(N3CC[C@@H](C(=O)O)C3)c3ccccc23)c1C,,,CHEMBL3826927,ACS Med Chem Lett,2016,"{'bei': '15.47', 'le': '0.30', 'lle': '2.21', 'sei': '8.07'}",CHEMBL3827626,,CHEMBL3827626,7.00,0,http://www.openphacts.org/units/Nanomolar,2788276,=,1,1,=,,IC50,nM,,100.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,0.1
,,16652576,[],CHEMBL3829092,Inhibition of human Keap1 kelch domain (Ala321 to Thr609 residues) binding to fluorescent labeled Nrf2 peptide preincubated for 15 mins followed by Nrf2 peptide addition measured after 30 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(N3CCC(C(=O)O)C3)c3ccccc23)c1C,,,CHEMBL3826927,ACS Med Chem Lett,2016,"{'bei': '14.80', 'le': '0.29', 'lle': '1.91', 'sei': '7.73'}",CHEMBL3827019,,CHEMBL3827019,6.70,0,http://www.openphacts.org/units/Nanomolar,2788275,=,1,1,=,,IC50,nM,,200.0,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,uM,UO_0000065,,0.2
,,16774750,[],CHEMBL3864475,Inhibition of Keap1 Kelch domain (unknown origin) interaction with Nrf2 assessed as displacement of FITC-betaAla-DEETGEF-OH from Keap1 Kelch domain by FP assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC1=O,,,CHEMBL3864134,J Med Chem,2016,"{'bei': '6.26', 'le': None, 'lle': None, 'sei': None}",CHEMBL3913014,,CHEMBL3913014,8.03,0,http://www.openphacts.org/units/Nanomolar,2804501,=,1,1,=,,IC50,nM,,9.45,CHEMBL2069156,Homo sapiens,Kelch-like ECH-associated protein 1,9606,,,IC50,nM,UO_0000065,,9.45
